ImageNo	 ImArea	 ImFrac	 StainArea	 StainInt	 StAreaFrac	  StainThreshold
R2C12__01.tif	 717043	 0.30117	 20194	 147.8144	 0.028163	 0.35
R2C13__01.tif	 781339	 0.32818	 10662	 153.0567	 0.013646	 0.35
R2C1__01.tif	 962564	 0.40429	 162659	 183.7406	 0.16899	 0.38039
R2C2__01.tif	 524092	 0.22013	 82767	 167.8252	 0.15792	 0.35
R2C3__01.tif	 934907	 0.39268	 144534	 178.4411	 0.1546	 0.36863
R2C4__01.tif	 597729	 0.25106	 206235	 227.8503	 0.34503	 0.4549
R2C5__01.tif	 1090978	 0.45823	 385830	 218.2233	 0.35366	 0.4549
R2C6__01.tif	 120779	 0.050729	 40003	 218.1882	 0.33121	 0.42745
R2C7__01.tif	 1501142	 0.63051	 20	 150.4	 1.3323e-05	 0.35
R2C8__01.tif	 448865	 0.18853	 88309	 188.742	 0.19674	 0.37647
R2C9__01.tif	 804488	 0.3379	 153530	 161.2795	 0.19084	 0.35
R3C10__01.tif	 859912	 0.36118	 333592	 225.6905	 0.38794	 0.45882
R3C11__01.tif	 831929	 0.34943	 68472	 145.4778	 0.082305	 0.35
R3C12__01.tif	 322189	 0.13533	 33134	 167.3028	 0.10284	 0.35
R3C13__01.tif	 764540	 0.32112	 54158	 152.949	 0.070837	 0.35
R3C1__01.tif	 637035	 0.26757	 214152	 215.9167	 0.33617	 0.43529
R3C2__01.tif	 1184677	 0.49759	 321134	 220.6125	 0.27107	 0.45882
R3C3__01.tif	 640690	 0.2691	 72601	 187.6637	 0.11332	 0.37647
R3C4__01.tif	 877517	 0.36857	 223691	 225.5365	 0.25491	 0.45882
R3C5__01.tif	 1403548	 0.58952	 550438	 231.0426	 0.39218	 0.4902
R3C6__01.tif	 1147625	 0.48202	 412682	 225.2952	 0.3596	 0.47059
R3C7__01.tif	 60514	 0.025417	 19223	 210.8852	 0.31766	 0.41176
R3C8__01.tif	 736705	 0.30943	 289516	 215.9949	 0.39299	 0.43922
R3C9__01.tif	 1063137	 0.44654	 449514	 224.0402	 0.42282	 0.46667
R4C10__01.tif	 494645	 0.20776	 82556	 172.1686	 0.1669	 0.35
R4C11__01.tif	 1156705	 0.48584	 184918	 195.5619	 0.15987	 0.40784
R4C12__01.tif	 974996	 0.40952	 202044	 225.6975	 0.20723	 0.45882
R4C13__01.tif	 1025694	 0.43081	 32492	 156.9055	 0.031678	 0.35
R4C1__01.tif	 762083	 0.32009	 30183	 158.129	 0.039606	 0.35
R4C2__01.tif	 843351	 0.35422	 11725	 147.7193	 0.013903	 0.35
R4C3__01.tif	 993483	 0.41728	 14463	 137.0147	 0.014558	 0.35
R4C4__01.tif	 902215	 0.37895	 253772	 195.3017	 0.28128	 0.40392
R4C5__01.tif	 403085	 0.1693	 119887	 188.2813	 0.29742	 0.37647
R4C6__01.tif	 1107355	 0.46511	 224504	 206.9962	 0.20274	 0.43137
R4C7__01.tif	 88869	 0.037327	 20721	 210.0702	 0.23316	 0.41176
R4C8__01.tif	 654146	 0.27475	 321859	 233.6782	 0.49203	 0.46667
R4C9__01.tif	 976541	 0.41017	 507386	 222.8827	 0.51957	 0.45882
R5C10__01.tif	 624269	 0.2622	 159764	 165.9878	 0.25592	 0.35
R5C11__01.tif	 1186749	 0.49846	 36860	 140.2608	 0.03106	 0.35
R5C12__01.tif	 1066308	 0.44787	 31097	 138.8037	 0.029163	 0.35
R5C13__01.tif	 1260308	 0.52935	 17593	 155.2045	 0.013959	 0.35
R5C1__01.tif	 785946	 0.33011	 5539	 211.0072	 0.0070476	 0.41961
R5C2__01.tif	 743842	 0.31243	 26562	 222.5878	 0.035709	 0.44314
R5C3__01.tif	 996053	 0.41836	 58236	 197.6566	 0.058467	 0.4
R5C4__01.tif	 994529	 0.41772	 241195	 166.0869	 0.24252	 0.35
R5C5__01.tif	 1063999	 0.4469	 175996	 163.4932	 0.16541	 0.35
R5C6__01.tif	 1327482	 0.55757	 273479	 170.457	 0.20601	 0.36863
R5C7__01.tif	 146626	 0.061586	 39492	 187.5489	 0.26934	 0.36863
R5C8__01.tif	 401216	 0.16852	 103036	 166.2318	 0.25681	 0.35
R5C9__01.tif	 759369	 0.31895	 168087	 152.8111	 0.22135	 0.35
R6C10__01.tif	 912440	 0.38324	 166113	 152.9519	 0.18205	 0.35
R6C11__01.tif	 825066	 0.34654	 229928	 174.3998	 0.27868	 0.35686
R6C12__01.tif	 1105492	 0.46433	 29830	 216.9746	 0.026983	 0.43529
R6C13__01.tif	 836788	 0.35147	 227668	 164.412	 0.27207	 0.35
R6C1__01.tif	 810292	 0.34034	 106066	 165.5402	 0.1309	 0.35
R6C2__01.tif	 689194	 0.28947	 116705	 182.3395	 0.16934	 0.37255
R6C3__01.tif	 676793	 0.28427	 75616	 164.5487	 0.11173	 0.35
R6C4__01.tif	 404862	 0.17005	 1454	 144.4127	 0.0035913	 0.35
R6C5__01.tif	 439072	 0.18442	 1344	 150.6964	 0.003061	 0.35
R6C6__01.tif	 536643	 0.2254	 7335	 137.4705	 0.013668	 0.35
R6C7__01.tif	 1636472	 0.68735	 98	 229.4286	 5.9885e-05	 0.35
R6C8__01.tif	 1108199	 0.46546	 210142	 170.8837	 0.18962	 0.36078
R6C9__01.tif	 646468	 0.27153	 102790	 146.864	 0.159	 0.35
R8C10__01.tif	 384796	 0.16162	 74267	 216.7804	 0.193	 0.43137
R8C11__01.tif	 726702	 0.30523	 303394	 220.9349	 0.41749	 0.44706
R8C12__01.tif	 1044570	 0.43874	 319538	 223.3856	 0.3059	 0.45882
R8C13__01.tif	 1016861	 0.4271	 314315	 211.606	 0.3091	 0.43922
R8C1__01.tif	 727223	 0.30545	 73996	 147.8012	 0.10175	 0.35
R8C2__01.tif	 760502	 0.31942	 83519	 144.2533	 0.10982	 0.35
R8C3__01.tif	 977223	 0.41045	 94416	 155.9414	 0.096617	 0.35
R8C4__01.tif	 925601	 0.38877	 139759	 168.0838	 0.15099	 0.35
R8C5__01.tif	 763948	 0.32087	 101505	 156.0102	 0.13287	 0.35
