TMA_slide_Number,MappingSize,AperioSlideNumber,CDX2,HTR2B,FRMD6,Panker,ZEB1
Cairo1_01,7x5,,196465,196524,196484,196446,196427
Cairo1_02,7x5,,196466,196409,196485,196447,196428
Cairo1_03,7x5,,196467,196410,196486,196771,196429
Cairo1_04,7x5,,196468,196411,196487,196449,196430
Cairo1_05,7x5,,196469,196412,196488,196450,196431
