ImageNo	 ImArea	 ImFrac	 StainArea	 StainInt	 StAreaFrac	  StainThreshold
Cairo1_1_1_1_HTR2B.tif	 1636164	 0.054088	 283718	 133.809	 0.1734	 0.35
Cairo1_1_1_2_HTR2B.tif	 1636164	 0.054088	 283718	 133.809	 0.1734	 0.35
Cairo1_1_1_3_HTR2B.tif	 14319247	 0.47336	 6697666	 210.9259	 0.46774	 0.43137
Cairo1_1_1_4_HTR2B.tif	 15945758	 0.52713	 22773	 158.658	 0.0014282	 0.35
Cairo1_1_1_5_HTR2B.tif	 16989191	 0.56163	 9389278	 182.4535	 0.55266	 0.38039
Cairo1_1_1_6_HTR2B.tif	 15747105	 0.52057	 3265652	 208.6527	 0.20738	 0.42745
Cairo1_1_1_7_HTR2B.tif	 15159110	 0.50113	 6032563	 192.5165	 0.39795	 0.39608
Cairo1_1_2_1_HTR2B.tif	 16739528	 0.55337	 7241436	 192.9841	 0.43259	 0.39608
Cairo1_1_2_2_HTR2B.tif	 17672031	 0.5842	 7698951	 195.8442	 0.43566	 0.40392
Cairo1_1_2_3_HTR2B.tif	 19261627	 0.63675	 5134589	 188.0141	 0.26657	 0.39608
Cairo1_1_2_4_HTR2B.tif	 13574404	 0.44874	 267733	 204.1612	 0.019723	 0.41176
Cairo1_1_2_5_HTR2B.tif	 13014009	 0.43022	 5843	 199.1261	 0.00044898	 0.35
Cairo1_1_2_6_HTR2B.tif	 14785765	 0.48879	 1645359	 186.9434	 0.11128	 0.37647
Cairo1_1_2_7_HTR2B.tif	 13043839	 0.4312	 2440170	 187.9958	 0.18707	 0.38039
Cairo1_1_3_1_HTR2B.tif	 15062649	 0.49794	 5721504	 203.7234	 0.37985	 0.41961
Cairo1_1_3_2_HTR2B.tif	 17909193	 0.59204	 6721944	 205.7187	 0.37533	 0.42745
Cairo1_1_3_3_HTR2B.tif	 16413279	 0.54259	 2833958	 181.7671	 0.17266	 0.37647
Cairo1_1_3_4_HTR2B.tif	 18524288	 0.61237	 6749812	 194.5005	 0.36438	 0.40784
Cairo1_1_3_5_HTR2B.tif	 17636725	 0.58303	 1987760	 141.9211	 0.11271	 0.35
Cairo1_1_3_6_HTR2B.tif	 15703400	 0.51912	 896620	 188.8119	 0.057097	 0.38039
Cairo1_1_3_7_HTR2B.tif	 13541311	 0.44765	 245396	 224.9768	 0.018122	 0.4549
Cairo1_1_4_1_HTR2B.tif	 8150825	 0.26945	 2970214	 199.7444	 0.36441	 0.4
Cairo1_1_4_2_HTR2B.tif	 12092484	 0.39975	 4229784	 193.0437	 0.34979	 0.39216
Cairo1_1_4_3_HTR2B.tif	 14934167	 0.49369	 5467791	 212.471	 0.36613	 0.43529
Cairo1_1_4_4_HTR2B.tif	 14594207	 0.48245	 8115476	 203.3099	 0.55608	 0.42353
Cairo1_1_4_5_HTR2B.tif	 11813258	 0.39052	 5364495	 187.6988	 0.45411	 0.38431
Cairo1_1_4_6_HTR2B.tif	 11068308	 0.36589	 514682	 148.7321	 0.046501	 0.35
Cairo1_1_4_7_HTR2B.tif	 15741784	 0.52039	 1769351	 215.8747	 0.1124	 0.43922
Cairo1_1_5_1_HTR2B.tif	 7702152	 0.26166	 2858389	 185.298	 0.37112	 0.37255
Cairo1_1_5_2_HTR2B.tif	 15010266	 0.49621	 4890918	 185.369	 0.32584	 0.38431
Cairo1_1_5_3_HTR2B.tif	 15820448	 0.52299	 3760419	 194.8258	 0.23769	 0.4
Cairo1_1_5_4_HTR2B.tif	 14140924	 0.46747	 1915868	 208.589	 0.13548	 0.42353
Cairo1_1_5_5_HTR2B.tif	 15682873	 0.51844	 6129605	 197.5468	 0.39085	 0.40784
Cairo1_1_5_6_HTR2B.tif	 14646966	 0.4842	 4837424	 181.6861	 0.33027	 0.37647
Cairo1_1_5_7_HTR2B.tif	 15403568	 0.56002	 5306335	 193.1388	 0.34449	 0.40392
