ImageNo	 ImArea	 ImFrac	 StainArea	 StainInt	 StAreaFrac	  StainThreshold
Cairo1_1_1_1_Panker.tif	 144365	 0.0047724	 1090	 143.9092	 0.0075503	 0.35
Cairo1_1_1_2_Panker.tif	 171380	 0.0056655	 2499	 159.9628	 0.014582	 0.35
Cairo1_1_1_3_Panker.tif	 18505562	 0.61175	 8664101	 183.3499	 0.46819	 0.38431
Cairo1_1_1_4_Panker.tif	 4140104	 0.13686	 2623874	 214.5197	 0.63377	 0.42353
Cairo1_1_1_5_Panker.tif	 5847358	 0.1933	 3721138	 215.2188	 0.63638	 0.42745
Cairo1_1_1_6_Panker.tif	 14424920	 0.47686	 5701038	 194.8756	 0.39522	 0.39608
Cairo1_1_1_7_Panker.tif	 1138569	 0.037639	 80243	 166.7814	 0.070477	 0.35
Cairo1_1_2_1_Panker.tif	 15322816	 0.50654	 3138043	 217.6781	 0.2048	 0.43922
Cairo1_1_2_2_Panker.tif	 16099206	 0.53221	 3236923	 216.1693	 0.20106	 0.43529
Cairo1_1_2_3_Panker.tif	 8479494	 0.28031	 3662903	 212.8192	 0.43197	 0.42745
Cairo1_1_2_4_Panker.tif	 1184930	 0.039171	 509154	 194.5877	 0.42969	 0.38039
Cairo1_1_2_5_Panker.tif	 6495215	 0.21472	 513482	 192.8189	 0.079055	 0.38431
Cairo1_1_2_6_Panker.tif	 13064525	 0.43189	 6822419	 185.4266	 0.52221	 0.38431
Cairo1_1_2_7_Panker.tif	 13355304	 0.4415	 3300878	 205.3586	 0.24716	 0.41569
Cairo1_1_3_1_Panker.tif	 12704200	 0.41997	 4937738	 207.6169	 0.38867	 0.42353
Cairo1_1_3_2_Panker.tif	 16983556	 0.56144	 6737122	 212.0644	 0.39669	 0.43922
Cairo1_1_3_3_Panker.tif	 20545915	 0.6792	 2234	 139.1531	 0.00010873	 0.35
Cairo1_1_3_4_Panker.tif	 15163191	 0.50126	 5526136	 204.8594	 0.36444	 0.41961
Cairo1_1_3_5_Panker.tif	 13952535	 0.46124	 2848428	 215.0953	 0.20415	 0.43529
Cairo1_1_3_6_Panker.tif	 14901343	 0.49261	 3730373	 222.2603	 0.25034	 0.45098
Cairo1_1_3_7_Panker.tif	 16512588	 0.54587	 3114005	 189.4896	 0.18858	 0.38431
Cairo1_1_4_1_Panker.tif	 9521292	 0.31475	 2327354	 224.2645	 0.24444	 0.45098
Cairo1_1_4_2_Panker.tif	 9521292	 0.31475	 2327354	 224.2645	 0.24444	 0.45098
Cairo1_1_4_3_Panker.tif	 9090529	 0.30051	 4431147	 206.3276	 0.48745	 0.41176
Cairo1_1_4_4_Panker.tif	 17398892	 0.57517	 5343979	 198.3874	 0.30714	 0.40784
Cairo1_1_4_5_Panker.tif	 9528973	 0.31501	 5427027	 201.8178	 0.56953	 0.40784
Cairo1_1_4_6_Panker.tif	 18013722	 0.59549	 1923098	 223.0832	 0.10676	 0.45098
Cairo1_1_4_7_Panker.tif	 18656628	 0.61675	 1722754	 221.0226	 0.09234	 0.44706
Cairo1_1_5_1_Panker.tif	 8957562	 0.29612	 2754013	 221.4947	 0.30745	 0.44314
Cairo1_1_5_2_Panker.tif	 14342335	 0.47413	 4405103	 223.3169	 0.30714	 0.45098
Cairo1_1_5_3_Panker.tif	 9025194	 0.29835	 4128011	 181.9043	 0.45739	 0.36863
Cairo1_1_5_4_Panker.tif	 8101342	 0.26781	 3798414	 195.5061	 0.46886	 0.39216
Cairo1_1_5_5_Panker.tif	 16086752	 0.53179	 7300178	 203.2593	 0.4538	 0.43137
Cairo1_1_5_6_Panker.tif	 17482279	 0.57793	 1700611	 230.8459	 0.097276	 0.46667
Cairo1_1_5_7_Panker.tif	 7368015	 0.24357	 3225402	 201.611	 0.43776	 0.40392
