ImageNo	 ImArea	 ImFrac	 StainArea	 StainInt	 StAreaFrac	  StainThreshold
Cairo1_1_1_1_Panker.tif	 14041393	 0.46418	 3224738	 139.4645	 0.22966	 0.35
Cairo1_1_1_2_Panker.tif	 16415989	 0.54268	 2671379	 212.6308	 0.16273	 0.43137
Cairo1_1_1_3_Panker.tif	 14696256	 0.48583	 3913207	 205.2686	 0.26627	 0.41569
Cairo1_1_1_4_Panker.tif	 17417413	 0.57578	 2827647	 202.7537	 0.16235	 0.41569
Cairo1_1_1_5_Panker.tif	 12195313	 0.40315	 5170362	 200.4686	 0.42396	 0.40392
Cairo1_1_1_6_Panker.tif	 17696967	 0.58502	 2461339	 176.1715	 0.13908	 0.36078
Cairo1_1_1_7_Panker.tif	 17016446	 0.56253	 3209654	 195.8742	 0.18862	 0.4
Cairo1_1_2_1_Panker.tif	 7833012	 0.25894	 2318372	 142.017	 0.29597	 0.35
Cairo1_1_2_2_Panker.tif	 11229738	 0.37123	 4762506	 169.4433	 0.4241	 0.35
Cairo1_1_2_3_Panker.tif	 14315570	 0.47324	 2513562	 199.7354	 0.17558	 0.40392
Cairo1_1_2_4_Panker.tif	 11049907	 0.36529	 1659238	 219.3916	 0.15016	 0.43922
Cairo1_1_2_5_Panker.tif	 15327737	 0.5067	 3950877	 202.6384	 0.25776	 0.41176
Cairo1_1_2_6_Panker.tif	 16740924	 0.55342	 3697443	 192.8069	 0.22086	 0.39608
Cairo1_1_2_7_Panker.tif	 13971334	 0.46636	 5572350	 192.1743	 0.39884	 0.39216
Cairo1_1_3_1_Panker.tif	 422084	 0.013953	 277266	 182.2476	 0.6569	 0.35686
Cairo1_1_3_2_Panker.tif	 16517125	 0.54602	 3841814	 185.6867	 0.2326	 0.37647
Cairo1_1_3_3_Panker.tif	 13622357	 0.45033	 4624758	 165.5334	 0.3395	 0.35
Cairo1_1_3_4_Panker.tif	 18298048	 0.60489	 3538796	 160.8568	 0.1934	 0.35
Cairo1_1_3_5_Panker.tif	 13311505	 0.44005	 2619983	 202.7021	 0.19682	 0.41176
Cairo1_1_3_6_Panker.tif	 15608087	 0.51597	 2282276	 184.3321	 0.14622	 0.37647
Cairo1_1_3_7_Panker.tif	 16215120	 0.62356	 4390475	 179.3378	 0.27076	 0.36863
Cairo1_1_4_1_Panker.tif	 1129984	 0.037355	 347398	 154.2579	 0.30744	 0.35
Cairo1_1_4_2_Panker.tif	 17488012	 0.57812	 5000217	 149.238	 0.28592	 0.35
Cairo1_1_4_3_Panker.tif	 14522916	 0.4801	 2457521	 191.4062	 0.16922	 0.38431
Cairo1_1_4_4_Panker.tif	 14151485	 0.46782	 4103309	 177.8448	 0.28996	 0.36471
Cairo1_1_4_5_Panker.tif	 14913320	 0.493	 1676989	 197.2483	 0.11245	 0.39608
Cairo1_1_4_6_Panker.tif	 18420231	 0.60893	 6609651	 180.6866	 0.35883	 0.38039
Cairo1_1_4_7_Panker.tif	 11172557	 0.36934	 3321221	 201.1129	 0.29727	 0.40392
Cairo1_1_5_1_Panker.tif	 964951	 0.034388	 279332	 166.6995	 0.28948	 0.35
Cairo1_1_5_2_Panker.tif	 15967056	 0.52784	 3478084	 188.916	 0.21783	 0.38824
Cairo1_1_5_3_Panker.tif	 15652637	 0.51744	 4177678	 199.3978	 0.2669	 0.40784
Cairo1_1_5_4_Panker.tif	 20334411	 0.71664	 6401683	 176.1383	 0.31482	 0.37255
Cairo1_1_5_5_Panker.tif	 363696	 0.012023	 113335	 206.1563	 0.31162	 0.40392
Cairo1_1_5_6_Panker.tif	 1989488	 0.065768	 1406003	 216.9491	 0.70672	 0.42353
Cairo1_1_5_7_Panker.tif	 1723147	 0.056964	 1056637	 227.9032	 0.6132	 0.44706
